"Story","Title","Result","Date","Stability","Duration (s)"
"Transacción con Nequi en Wompi Sandbox","Crear una transacción aprobada con Nequi","SUCCESS","2025-10-16T01:01:36.422-05:00[America/Bogota]","0.0","9.61"
"Transacción con Nequi en Wompi Sandbox","Crear una transacción declinada con Nequi","SUCCESS","2025-10-16T01:01:46.09-05:00[America/Bogota]","0.0","16.68"
"Transacción con Nequi en Wompi Sandbox","Consultar por id inexistente","SUCCESS","2025-10-16T01:02:02.788-05:00[America/Bogota]","0.0","3.33"
"Transacción con Nequi en Wompi Sandbox","validar errores de validación","SUCCESS","2025-10-16T01:02:06.15-05:00[America/Bogota]","0.0","13.74"
